TIME,KTB_3Y,CORP_AA_3Y,SPREAD,SPREAD_BP
20260225,3.124,3.705,0.581,58.1
20260226,3.062,3.653,0.591,59.1
20260227,3.041,3.637,0.596,59.6
20260303,3.18,3.769,0.589,58.9
20260304,3.223,3.8,0.577,57.7
20260305,3.189,3.777,0.588,58.8
20260306,3.227,3.815,0.588,58.8
20260309,3.42,3.997,0.577,57.7
20260310,3.283,3.874,0.591,59.1
20260311,3.253,3.845,0.592,59.2
20260312,3.271,3.866,0.595,59.5
20260313,3.338,3.919,0.581,58.1
20260316,3.3,3.887,0.587,58.7
20260317,3.324,3.906,0.582,58.2
20260318,3.261,3.855,0.594,59.4
20260319,3.329,3.915,0.586,58.6
20260320,3.41,3.991,0.581,58.1
20260323,3.617,4.197,0.58,58.0
20260324,3.523,4.121,0.598,59.8
20260325,3.558,4.158,0.6,60.0
20260326,3.552,4.156,0.604,60.4
20260327,3.582,4.182,0.6,60.0
20260330,3.542,4.157,0.615,61.5
20260331,3.552,4.166,0.614,61.4
20260401,3.37,4.011,0.641,64.1
20260402,3.477,4.114,0.637,63.7
20260403,3.448,4.093,0.645,64.5
20260406,3.432,4.081,0.649,64.9
20260407,3.451,4.107,0.656,65.6
20260408,3.315,3.973,0.658,65.8
20260409,3.338,3.999,0.661,66.1
20260410,3.36,4.018,0.658,65.8
20260413,3.382,4.043,0.661,66.1
20260414,3.339,4.005,0.666,66.6
20260415,3.328,3.995,0.667,66.7
20260416,3.34,4.005,0.665,66.5
20260417,3.371,4.037,0.666,66.6
20260420,3.348,4.016,0.668,66.8
20260421,3.33,3.994,0.664,66.4
20260422,3.365,4.028,0.663,66.3
20260423,3.458,4.107,0.649,64.9
20260424,3.496,4.145,0.649,64.9
20260427,3.492,4.147,0.655,65.5
20260428,3.529,4.182,0.653,65.3
20260429,3.525,4.185,0.66,66.0
20260430,3.595,4.248,0.653,65.3
20260504,3.615,4.268,0.653,65.3
20260506,3.595,4.249,0.654,65.4
20260507,3.546,4.199,0.653,65.3
20260508,3.569,4.218,0.649,64.9
20260511,3.598,4.245,0.647,64.7
20260512,3.674,4.311,0.637,63.7
20260513,3.635,4.273,0.638,63.8
20260514,3.654,4.284,0.63,63.0
20260515,3.766,4.391,0.625,62.5
20260518,3.757,4.381,0.624,62.4
20260519,3.751,4.377,0.626,62.6
20260520,3.76,4.386,0.626,62.6
20260521,3.753,4.381,0.628,62.8
20260522,3.736,4.361,0.625,62.5
20260526,3.664,4.295,0.631,63.1
20260527,3.711,4.336,0.625,62.5
20260528,3.766,4.384,0.618,61.8
20260529,3.731,4.353,0.622,62.2
20260601,3.79,4.41,0.62,62.0
20260602,3.773,4.397,0.624,62.4
20260604,3.858,4.48,0.622,62.2
20260605,3.882,4.501,0.619,61.9
20260608,3.94,4.565,0.625,62.5
20260609,3.856,4.492,0.636,63.6
20260610,3.881,4.499,0.618,61.8
20260611,3.904,4.515,0.611,61.1
20260612,3.808,4.433,0.625,62.5
20260615,3.744,4.373,0.629,62.9
20260616,3.717,4.348,0.631,63.1
20260617,3.71,4.345,0.635,63.5
20260618,3.75,4.381,0.631,63.1
20260619,3.784,4.419,0.635,63.5
20260622,3.81,4.442,0.632,63.2
20260623,3.77,4.417,0.647,64.7
20260624,3.772,4.428,0.656,65.6
20260625,3.757,4.403,0.646,64.6
20260626,3.722,4.38,0.658,65.8
20260629,3.733,4.396,0.663,66.3
20260630,3.703,4.375,0.672,67.2
20260701,3.791,4.466,0.675,67.5
20260702,3.747,4.431,0.684,68.4
20260703,3.748,4.433,0.685,68.5
20260706,3.776,4.459,0.683,68.3
20260707,3.78,4.472,0.692,69.2
20260708,3.775,4.473,0.698,69.8
20260709,3.778,4.478,0.7,70.0
20260710,3.768,4.466,0.698,69.8
20260713,3.809,4.506,0.697,69.7
20260714,3.887,4.582,0.695,69.5
20260715,3.866,4.563,0.697,69.7
20260716,3.848,4.544,0.696,69.6
20260720,3.895,4.59,0.695,69.5
20260721,3.867,4.571,0.704,70.4
20260722,3.913,4.604,0.691,69.1
20260723,3.917,4.609,0.692,69.2
20260724,3.959,4.653,0.694,69.4
20260727,3.865,4.576,0.711,71.1
20260728,3.829,4.545,0.716,71.6
20260729,3.8,4.512,0.712,71.2
20260730,3.831,4.541,0.71,71.0
20260731,3.758,4.478,0.72,72.0
20260803,3.742,4.462,0.72,72.0
20260804,3.74,4.458,0.718,71.8
20260805,3.669,4.392,0.723,72.3
20260806,3.742,4.445,0.703,70.3
20260807,3.746,4.448,0.702,70.2
20260810,3.778,4.476,0.698,69.8
20260811,3.808,4.504,0.696,69.6
20260812,3.791,4.496,0.705,70.5
20260813,3.781,4.488,0.707,70.7
20260814,3.796,4.492,0.696,69.6
20260818,3.847,4.542,0.695,69.5
20260819,3.798,4.497,0.699,69.9
20260820,3.811,4.504,0.693,69.3
20260821,3.854,4.542,0.688,68.8
20260824,3.836,4.52,0.684,68.4
20260825,3.83,4.516,0.686,68.6
20260826,3.816,4.5,0.684,68.4
20260827,3.755,4.448,0.693,69.3
